from,to,donation,weight
Gesamt 2020,AfD,2046,
Mario Beger,Gesamt 2020,13,1
Andreas Bleck,Gesamt 2020,17,1
Dr Jan Bollinger,Gesamt 2020,16,1
Juergen Braun,Gesamt 2020,19,1
Dr Kristin Brinker,Gesamt 2020,14,1
Markus Buchheit,Gesamt 2020,16,1
Petr Bystron,Gesamt 2020,10,1
Tino Chrupalla,Gesamt 2020,12,1
Joana Cotar,Gesamt 2020,13,1
Gottfried Curio,Gesamt 2020,14,1
Dr Anne Elisabeth Cyron,Gesamt 2020,14,1
Siegbert Frank Droese,Gesamt 2020,13,1
Katrin Ebener-Steiner,Gesamt 2020,10,1
Thomas Ehrhorn,Gesamt 2020,13,1
Berengar Elsner von Gronow,Gesamt 2020,12,1
Arno Enners,Gesamt 2020,10,1
Dr Michael Espendiller,Gesamt 2020,12,1
Michael Frisch,Gesamt 2020,11,1
Ronald Glaeser,Gesamt 2020,14,1
Franziska Gminder,Gesamt 2020,16,1
Kay Gottschalk,Gesamt 2020,11,1
Richard Graupner,Gesamt 2020,13,1
Dr Bernd Grimmer,Gesamt 2020,21,1
Guenter Gruber,Gesamt 2020,11,1
Bernd Goegel,Gesamt 2020,28,1
Frank-Christian Hansel,Gesamt 2020,24,1
Dr Roland Hartwig,Gesamt 2020,20,1
Jochen Haug,Gesamt 2020,13,1
Udo Hemmelgarn,Gesamt 2020,12,1
Christian-Ullrich Henkel,Gesamt 2020,13,1
Holger Hentschel,Gesamt 2020,12,1
Martin Hess,Gesamt 2020,13,1
Karsten Hilse,Gesamt 2020,19,1
Leif-Erik Holm,Gesamt 2020,11,1
Johannes Huber,Gesamt 2020,12,1
Fabian Jacobi,Gesamt 2020,25,1
Uwe Junge,Gesamt 2020,13,1
Andreas Keith-Volkmer,Gesamt 2020,10,1
Tobias Keller,Gesamt 2020,12,1
Stefan Keuter,Gesamt 2020,12,1
Christian Klingen,Gesamt 2020,12,1
Steffen Kotre,Gesamt 2020,11,1
Christian Krawinkel,Gesamt 2020,100,2
Hans Joachim Kuhs,Gesamt 2020,12,1
Lars Kuppi,Gesamt 2020,11,1
Joern Koenig,Gesamt 2020,11,1
Joerg Kuehne,Gesamt 2020,15,1
Robert Lambrou,Gesamt 2020,12,1
Damian Lohr,Gesamt 2020,10,1
Ruediger Lucassen,Gesamt 2020,15,1
Christoph Maier,Gesamt 2020,11,1
Jens Maier,Gesamt 2020,13,1
Andreas Mrosek,Gesamt 2020,11,1
Dr Ralph Mueller,Gesamt 2020,10,1
Volker Muenz,Gesamt 2020,13,1
Sebastian Muenzenmaier,Gesamt 2020,13,1
Christoph Neumann,Gesamt 2020,27,1
Iris Nieland,Gesamt 2020,11,1
Joerg Nobis,Gesamt 2020,21,1
Jan Nolte,Gesamt 2020,10,1
Ulrich Oehme,Gesamt 2020,23,1
Gerold Otten,Gesamt 2020,11,1
Frank Pasemann,Gesamt 2020,33,1
Joachim Paul,Gesamt 2020,13,1
Georg Pazderski,Gesamt 2020,13,1
Tobias Matthias Peterka,Gesamt 2020,14,1
Paul Podolay,Gesamt 2020,12,1
Martin Reichardt,Gesamt 2020,14,1
Guido Reil,Gesamt 2020,31,1
Martin Renner,Gesamt 2020,12,1
Daniel Roi,Gesamt 2020,10,1
Dr Christoph Schenk,Gesamt 2020,25,1
Gerhard Schenk,Gesamt 2020,11,1
Martin Louis Schmidt,Gesamt 2020,11,1
Erich Schneekloth,Gesamt 2020,11,1
Joerg Schneider,Gesamt 2020,12,1
Volker Schnurrbusch,Gesamt 2020,10,1
Uwe Schulz,Gesamt 2020,17,1
Robert Sesselmann,Gesamt 2020,16,1
Detlev Spangenberg,Gesamt 2020,12,1
Dr Dirk Spaniel,Gesamt 2020,10,1
Rene Springer,Gesamt 2020,11,1
Ralf Stadler,Gesamt 2020,14,1
Beatrix von Storch,Gesamt 2020,11,1
Markus Wagner,Gesamt 2020,10,1
Dr Alice Weidel,Gesamt 2020,11,1
Alexander Werling,Gesamt 2020,10,1
Prof Dr Harald Weyel,Gesamt 2020,15,1
Wolfgang Wiehle,Gesamt 2020,23,1
Alexander Wiesner,Gesamt 2020,16,1
Uwe Witt,Gesamt 2020,10,1
Karsten Woldeit,Gesamt 2020,11,1
Zoz GmbH,Gesamt 2020,15,1
Wilfried Evermann,Gesamt 2020,89,3
Walter Hubert Kraus,Gesamt 2020,60,3
Anna Engel,Gesamt 2020,496,3